Writer,Frequency
Mimi Pond,1
Jon Vitti,25
Jay Kogen & Wallace Wolodarsky,10
Al Jean,26
Mike Reiss,10
John Swartzwelder,59
Sam Simon,6
Matt Groening,4
George Meyer,12
David M. Stern,9
Ken Levine & David Isaacs,2
Jeff Martin,14
Nell Scovell,2
Steve Pepoon,1
Brian K. Roberts,1
Howard Gewirtz,1
Robert Cohen,1
Thomas Chastain,1
Bill Oakley & Josh Weinstein,12
Conan O'Brien,4
Gary Apple & Michael Carrington,1
Frank Mula,3
Adam I. Lapidus,1
Greg Daniels,8
Dan McGrath,4
Bill Canterbury,2
David Mirkin,2
David Richardson,1
Jace Richdale,1
Mike Scully,12
Bob Kushell,2
David X. Cohen,14
Jonathan Collier,6
David Sacks,1
Jennifer Crittenden,5
Brent Forrester,4
Ken Keeler,7
Joshua Sternin & Jennifer Ventimilia,2
Steve Tompkins,4
Dan Greaney,20
Richard Appel,7
Spike Feresten,1
Jack Barth,1
Rachel Pulido,2
Ian Maxtone-Graham,22
Steve Young,1
Reid Harrison,2
Ron Hauge,7
Donick Cary,7
Ned Goldreyer,2
Steve O'Donnell,2
Larry Doyle,7
Brian Scully,3
Matt Selman,30
Jane O'Brien,1
Tom Martin,3
Tim Long,33
Julie Thacker,3
Carolyn Omine,26
Dan Castellaneta & Deb Lacusta,9
Rob LaZebnik,21
John Frink,37
Don Payne,18
Bob Bendetson,2
Joel H. Cohen,36
Dana Gould,7
Bill Freiberger,1
Andrew Kreisberg,2
Matt Warburton,11
Marc Wilmore,12
Brian Kelley,20
Kevin Curran,12
Brian Pollack & Mert Rich,1
Dennis Snee,1
Neil Boushell & Sam O'Neal,1
Allen Glazier,4
J. Stewart Burns,25
Michael Price,25
Robin J. Stein,1
Julie Chambers & David Chambers,1
Bill Odenkirk,15
Jeff Westbrook,25
Patric Verrone,1
Daniel Chun,6
Stephanie Gillis,11
Ricky Gervais,1
Peter Gaffney,2
Billy Kimball,9
Mick Kelly,1
William Wright,3
Matt Marshall,1
Valentina L. Garza,4
Brendan Hay,1
Evan Goldberg & Seth Rogen,1
Mitchell H. Glazer,2
Michael Nobori,2
Chris Cluess,1
Dick Blasucci,1
Steve Viksten,1
Justin Hurwitz,1
Dan Vebber,9
Ben Joseph,1
David Mandel,1
Tom Gammill & Max Pross,6
Brian McConnachie,1
Eric Kaplan,1
David H. Steinberg,1
Judd Apatow,1
Neil Campbell,1
Michael Ferris,2
Eric Horsted,1
Dave King,1
Harry Shearer,1
Peter Tilden,1
Ryan Koh,10
Ron Zimmerman,1
Simon Rich,1
Miranda Thompson,4
Daniel Furlong & Zach Posner,1
David Silverman,1
Renee Ridgeley,1
Vince Waldron,1
Robin Sayers,1
Jane Becker,1
Megan Amram,3
Nancy Cartwright,1
Jenna Martin,1
Max Cohn,1
Elisabeth Kiernan Averick,3
Pete Holmes,2
David Cryan,1
Cesar Mazariegos,4
Julia Prescott,1
Danielle Weisberg,1
Jessica Conrad,4
Samantha Martin,1
Christine Nangle,3
Nick Dahan,1
Juliet Kaufman,1
Johnny LaZebnik,1
Loni Steele Sosthand,2
Broti Gupta,2